@relation 'probing_nonan_noid: -C -22'

@attribute CfsSubsetEval_DecisionStumpAUC numeric
@attribute CfsSubsetEval_DecisionStumpErrRate numeric
@attribute CfsSubsetEval_DecisionStumpKappa numeric
@attribute CfsSubsetEval_NaiveBayesAUC numeric
@attribute CfsSubsetEval_NaiveBayesErrRate numeric
@attribute CfsSubsetEval_NaiveBayesKappa numeric
@attribute CfsSubsetEval_kNN1NAUC numeric
@attribute CfsSubsetEval_kNN1NErrRate numeric
@attribute CfsSubsetEval_kNN1NKappa numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.Kappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.Kappa numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute kNN1NAUC numeric
@attribute kNN1NErrRate numeric
@attribute kNN1NKappa numeric
@attribute weka.classifiers.bayes.BayesNet numeric
@attribute weka.classifiers.bayes.NaiveBayes numeric
@attribute weka.classifiers.bayes.NaiveBayesMultinomial numeric
@attribute weka.classifiers.functions.Logistic numeric
@attribute weka.classifiers.functions.MultilayerPerceptron numeric
@attribute weka.classifiers.functions.SGD numeric
@attribute weka.classifiers.functions.SMO numeric
@attribute weka.classifiers.functions.SimpleLogistic numeric
@attribute weka.classifiers.functions.VotedPerceptron numeric
@attribute weka.classifiers.lazy.IBk numeric
@attribute weka.classifiers.lazy.KStar numeric
@attribute weka.classifiers.rules.DecisionTable numeric
@attribute weka.classifiers.rules.JRip numeric
@attribute weka.classifiers.rules.OneR numeric
@attribute weka.classifiers.rules.PART numeric
@attribute weka.classifiers.rules.ZeroR numeric
@attribute weka.classifiers.trees.DecisionStump numeric
@attribute weka.classifiers.trees.J48 numeric
@attribute weka.classifiers.trees.LMT numeric
@attribute weka.classifiers.trees.REPTree numeric
@attribute weka.classifiers.trees.RandomForest numeric
@attribute weka.classifiers.trees.RandomTree numeric

@data
0.661207,0.181514,0.350641,0.812123,0.380846,0.341406,0.953591,0.072383,0.818065,0.865274,0.228285,0.450333,0.593993,0.197105,0.267904,0.593993,0.197105,0.267904,0.593993,0.197105,0.267904,0.931591,0.246102,0.556959,0.569269,0.218263,0.141642,0.713366,0.19265,0.300865,0.822151,0.171492,0.418951,0.636958,0.238307,0,0.696573,0.242762,-0.005217,0.778991,0.229399,0.094364,0.872195,0.063474,0.82611,93.307985,75.665399,0,87.680608,99.087452,0,86.539924,88.136882,0,95.361217,0.380228,96.121673,95.437262,84.790875,94.980989,77.56654,77.338403,92.243346,95.741445,92.471483,94.828897,93.612167
0.671403,0.339487,0.339644,0.972045,0.072591,0.853986,0.973944,0.059136,0.881192,0.671403,0.339487,0.339644,0.989123,0.028786,0.942337,0.989232,0.028786,0.942337,0.99114,0.020964,0.958035,0.952042,0.121089,0.756971,0.671403,0.339487,0.339644,0.831345,0.245307,0.49744,0.935526,0.095745,0.806981,0.630851,0.394869,0.188165,0.672371,0.380788,0.235532,0.753147,0.30413,0.386537,0.972843,0.069149,0.860968,87.970711,87.887029,0,97.405858,99.288703,96.67364,95.230126,96.589958,93.200837,95.125523,96.192469,97.008368,99.16318,67.698745,98.933054,52.196653,65.983264,99.267782,99.644351,98.472803,99.058577,95.627615
0.72973,0.245614,0.460811,0.72973,0.245614,0.460811,0.72973,0.245614,0.460811,0.737838,0.315789,0.322325,0.805405,0.280702,0.410853,0.805405,0.280702,0.410853,0.805405,0.280702,0.410853,0.944595,0.070175,0.845946,0.604054,0.210526,0.515581,0.604054,0.210526,0.515581,0.604054,0.210526,0.515581,0.750071,0.298246,0.337662,0.750071,0.298246,0.337662,0.750071,0.298246,0.337662,0.767568,0.210526,0.55814,90.666667,92,0,88,89.333333,90.666667,90.666667,92,78.666667,88,93.333333,81.333333,86.666667,70.666667,81.333333,66.666667,80,86.666667,92,85.333333,86.666667,81.333333
0.61801,0.424779,0.193712,0.821059,0.311947,0.517587,0.671405,0.415929,0.345099,0.601558,0.433628,0.187535,0.754047,0.307522,0.519053,0.759398,0.307522,0.518198,0.758716,0.311947,0.508597,0.786228,0.396018,0.406572,0.560329,0.460177,0.080141,0.690255,0.40708,0.316615,0.728155,0.35177,0.416357,0.533606,0.45354,0.024426,0.536281,0.462389,0.045759,0.653429,0.429204,0.170069,0.59857,0.464602,0.212779,72.622951,65.737705,0,57.704918,67.704918,0,71.47541,74.098361,0,54.42623,60.491803,67.540984,70.327869,62.295082,66.065574,59.016393,60,68.360656,74.098361,69.016393,69.344262,56.393443
0.657455,0.9293,0.03277,0.95835,0.34985,0.636129,0.983386,0.0483,0.949766,0.657455,0.9293,0.03277,0.956047,0.1873,0.805198,0.953763,0.1815,0.811231,0.949726,0.17445,0.818563,0.955921,0.36025,0.625325,0.657455,0.9293,0.03277,0.773277,0.867,0.098023,0.85381,0.769,0.199914,0.64962,0.926,0.035489,0.752985,0.86815,0.096053,0.807971,0.792,0.175628,0.973102,0.05785,0.939834,74.186944,63.893271,55.230743,77.345192,82.295687,0,81.718409,77.325055,0,95.254237,95.200537,63.409968,84.436986,17.123678,87.430777,4.061084,7.061588,86.930693,90.941433,82.480282,95.610002,84.564524
0.842862,0.360976,0.526012,0.842862,0.360976,0.526012,0.842862,0.360976,0.526012,0.693905,0.55122,0.21368,0.856696,0.312195,0.598015,0.856696,0.312195,0.598015,0.856696,0.312195,0.598015,0.836849,0.419512,0.462467,0.803721,0.439024,0.417632,0.803721,0.439024,0.417632,0.803721,0.439024,0.417632,0.842526,0.268293,0.651436,0.842526,0.268293,0.651436,0.842526,0.268293,0.651436,0.825862,0.258537,0.666329,64.727273,57.090909,0,71.636364,76.363636,0,68.363636,75.636364,0,73.454545,72,63.272727,73.090909,59.272727,69.818182,34.545455,45.818182,76.727273,77.454545,60.363636,79.272727,69.454545
0.792455,0.236486,0.54744,0.792455,0.236486,0.54744,0.792455,0.236486,0.54744,0.771566,0.243243,0.531646,0.803504,0.243243,0.55,0.803504,0.243243,0.55,0.803504,0.243243,0.55,0.908328,0.155405,0.701482,0.746658,0.290541,0.430362,0.746658,0.290541,0.430362,0.746658,0.290541,0.430362,0.757621,0.243243,0.529536,0.757621,0.243243,0.529536,0.757621,0.243243,0.529536,0.827738,0.195946,0.623707,84.761905,81.428571,0,79.047619,83.333333,0,85.238095,83.333333,0,84.285714,86.666667,73.333333,77.142857,74.285714,79.047619,54.761905,70.952381,73.809524,83.333333,73.333333,82.380952,66.190476
0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.646919,0.376,0.302671,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.963095,0.104,0.807122,0.852567,0.2144,0.602374,0.852567,0.2144,0.602374,0.852567,0.2144,0.602374,0.834431,0.2144,0.625732,0.834431,0.2144,0.625732,0.834431,0.2144,0.625732,0.923201,0.1648,0.702793,75.191257,90.054645,87.540984,90.273224,91.256831,0,88.852459,88.087432,0,83.715847,88.961749,75.081967,79.562842,60.546448,82.73224,46.448087,59.344262,76.721311,89.617486,77.26776,80.765027,77.486339
0.720747,0.8065,0.103889,0.994321,0.0535,0.940556,0.974192,0.0465,0.948333,0.720747,0.8065,0.103889,0.936843,0.1405,0.843889,0.937191,0.1385,0.846111,0.932915,0.139,0.845556,0.991907,0.0765,0.915,0.720747,0.8065,0.103889,0.851237,0.6285,0.301667,0.919118,0.366,0.593333,0.709133,0.8055,0.105,0.821995,0.655,0.272222,0.88628,0.5005,0.443889,0.975326,0.044,0.951111,92.338983,91.79661,84.745763,97.423729,97.322034,0,97.559322,96.983051,0,95.186441,15.898305,67.016949,85.491525,38.40678,88.610169,10,19.864407,87.830508,96.983051,84.338983,96.033898,84.101695
0.72435,0.8045,0.106111,0.966894,0.221,0.754444,0.896422,0.186,0.793333,0.72435,0.8045,0.106111,0.902784,0.2895,0.678333,0.899338,0.283,0.685556,0.885568,0.282,0.686667,0.962638,0.2465,0.726111,0.72308,0.8045,0.106111,0.837822,0.629,0.301111,0.89759,0.4,0.555556,0.640063,0.8065,0.103889,0.741717,0.728,0.191111,0.801418,0.621,0.31,0.882509,0.2115,0.765,77.423729,77.050847,74.813559,70.644068,82.949153,0,84.644068,82.542373,0,80.271186,75.525424,64.169492,71.898305,39.186441,74.881356,10,19.59322,74.40678,82.40678,73.898305,84.135593,63.423729
